name,date,measure,trump_position,vote,agreement_likelihood,plus_minus
Fred Upton,Feb. 16,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (230-188),support,Yes,0.885,0.115
Fred Upton,Feb. 15,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (236-189),support,Yes,0.908,0.092
Fred Upton,Feb. 15,Repeal of a rule that allowed a new type of state-based retirement plan (231-193),support,Yes,0.846,0.154
Fred Upton,Feb. 15,Repeal of a rule that allowed a new type of retirement plan established by local governments (234-191),support,Yes,0.872,0.128
Fred Upton,Feb. 7,Repeal of a Department of Education rule on teacher preparation programs (240-181),support,Yes,0.883,0.117
Fred Upton,Feb. 7,Repeal of a Department of Education rule on school accountability (234-190),support,Yes,0.867,0.133
Fred Upton,Feb. 7,Repeal of changes to Bureau of Land Management planning rules (234-186),support,Yes,0.875,0.125
Fred Upton,Feb. 3,Repeal of a rule requiring energy companies to reduce waste and emissions (221-191),support,Yes,0.835,0.165
Fred Upton,Feb. 2,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (235-180),support,Yes,0.909,0.091
Fred Upton,Feb. 2,Repeal of a rule requiring some federal contractors to report labor violations (236-187),support,Yes,0.887,0.113
Fred Upton,Feb. 1,Repeal of the stream protection rule (228-194),support,Yes,0.844,0.156
Fred Upton,Feb. 1,Repeal of a rule requiring energy companies to disclose payments to foreign governments (235-187),support,Yes,0.854,0.146
Fred Upton,Jan. 24,Permanent ban on the use of federal funds for abortion or health coverage that includes abortions (238-183),support,Yes,0.902,0.098
Fred Upton,Jan. 13,Waiver allowing James Mattis to become secretary of defense (268-151),support,Yes,0.901,0.099
Fred Upton,Jan. 13,Budget resolution to repeal the Affordable Care Act (227-198),support,Yes,0.769,0.231
Fred Upton,Jan. 5,Regulations from the Executive in Need of Scrutiny Act of 2017 (237-187),support,Yes,0.904,0.096
Thomas MacArthur,March 16,Giving the secretary of veterans affairs more flexibility to discipline employees (237-178),support,Yes,0.808,0.192
Thomas MacArthur,March 8,Department of Defense Appropriations Act (371-48),support,Yes,0.958,0.042
Thomas MacArthur,March 2,Changes to rulemaking requirements for federal agencies (246-176),support,Yes,0.84,0.16
Thomas MacArthur,March 1,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (231-191),support,Yes,0.777,0.223
Thomas MacArthur,March 1,Requires review of proposed regulations by the Office of Information and Regulatory Affairs (241-184),support,Yes,0.871,0.129
Thomas MacArthur,March 1,Establishment of a commission to review federal regulations (240-185),support,Yes,0.767,0.233
Thomas MacArthur,Feb. 16,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (230-188),support,Yes,0.836,0.164
Thomas MacArthur,Feb. 15,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (236-189),support,Yes,0.864,0.136
Thomas MacArthur,Feb. 15,Repeal of a rule that allowed a new type of state-based retirement plan (231-193),support,Yes,0.796,0.204
Thomas MacArthur,Feb. 15,Repeal of a rule that allowed a new type of retirement plan established by local governments (234-191),support,Yes,0.823,0.177
Thomas MacArthur,Feb. 7,Repeal of a Department of Education rule on teacher preparation programs (240-181),support,Yes,0.84,0.16
Thomas MacArthur,Feb. 7,Repeal of a Department of Education rule on school accountability (234-190),support,Yes,0.817,0.183
Thomas MacArthur,Feb. 7,Repeal of changes to Bureau of Land Management planning rules (234-186),support,Yes,0.827,0.173
Thomas MacArthur,Feb. 3,Repeal of a rule requiring energy companies to reduce waste and emissions (221-191),support,Yes,0.779,0.221
Thomas MacArthur,Feb. 2,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (235-180),support,Yes,0.868,0.132
Thomas MacArthur,Feb. 2,Repeal of a rule requiring some federal contractors to report labor violations (236-187),support,Yes,0.844,0.156
Thomas MacArthur,Feb. 1,Repeal of the stream protection rule (228-194),support,Yes,0.791,0.209
Thomas MacArthur,Feb. 1,Repeal of a rule requiring energy companies to disclose payments to foreign governments (235-187),support,Yes,0.81,0.19
Thomas MacArthur,Jan. 24,Permanent ban on the use of federal funds for abortion or health coverage that includes abortions (238-183),support,Yes,0.859,0.141
Thomas MacArthur,Jan. 13,Waiver allowing James Mattis to become secretary of defense (268-151),support,Yes,0.88,0.12
Thomas MacArthur,Jan. 13,Budget resolution to repeal the Affordable Care Act (227-198),support,No,0.718,-0.718
Thomas MacArthur,Jan. 5,Regulations from the Executive in Need of Scrutiny Act of 2017 (237-187),support,Yes,0.86,0.14
Michael T. McCaul,March 16,Giving the secretary of veterans affairs more flexibility to discipline employees (237-178),support,Yes,0.857,0.143
Michael T. McCaul,March 8,Department of Defense Appropriations Act (371-48),support,Yes,0.963,0.037
Michael T. McCaul,March 2,Changes to rulemaking requirements for federal agencies (246-176),support,Yes,0.882,0.118
Michael T. McCaul,March 1,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (231-191),support,Yes,0.839,0.161
Michael T. McCaul,March 1,Requires review of proposed regulations by the Office of Information and Regulatory Affairs (241-184),support,Yes,0.92,0.08
Michael T. McCaul,March 1,Establishment of a commission to review federal regulations (240-185),support,Yes,0.817,0.183
Michael T. McCaul,Feb. 16,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (230-188),support,Yes,0.898,0.102
Michael T. McCaul,Feb. 15,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (236-189),support,Yes,0.919,0.081
Michael T. McCaul,Feb. 15,Repeal of a rule that allowed a new type of state-based retirement plan (231-193),support,Yes,0.86,0.14
Michael T. McCaul,Feb. 15,Repeal of a rule that allowed a new type of retirement plan established by local governments (234-191),support,Yes,0.885,0.115
Michael T. McCaul,Feb. 7,Repeal of a Department of Education rule on teacher preparation programs (240-181),support,Yes,0.895,0.105
Michael T. McCaul,Feb. 7,Repeal of a Department of Education rule on school accountability (234-190),support,Yes,0.881,0.119
Michael T. McCaul,Feb. 7,Repeal of changes to Bureau of Land Management planning rules (234-186),support,Yes,0.888,0.112
Michael T. McCaul,Feb. 3,Repeal of a rule requiring energy companies to reduce waste and emissions (221-191),support,Yes,0.851,0.149
Michael T. McCaul,Feb. 2,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (235-180),support,Yes,0.92,0.08
Michael T. McCaul,Feb. 2,Repeal of a rule requiring some federal contractors to report labor violations (236-187),support,Yes,0.898,0.102
Michael T. McCaul,Feb. 1,Repeal of the stream protection rule (228-194),support,Yes,0.859,0.141
Michael T. McCaul,Feb. 1,Repeal of a rule requiring energy companies to disclose payments to foreign governments (235-187),support,Yes,0.866,0.134
Michael T. McCaul,Jan. 24,Permanent ban on the use of federal funds for abortion or health coverage that includes abortions (238-183),support,Yes,0.914,0.086
Michael T. McCaul,Jan. 13,Waiver allowing James Mattis to become secretary of defense (268-151),support,Yes,0.907,0.093
Michael T. McCaul,Jan. 13,Budget resolution to repeal the Affordable Care Act (227-198),support,Yes,0.784,0.216
Michael T. McCaul,Jan. 5,Regulations from the Executive in Need of Scrutiny Act of 2017 (237-187),support,Yes,0.916,0.084
Ted Poe,March 16,Giving the secretary of veterans affairs more flexibility to discipline employees (237-178),support,Yes,0.861,0.139
Ted Poe,March 8,Department of Defense Appropriations Act (371-48),support,Yes,0.963,0.037
Ted Poe,March 2,Changes to rulemaking requirements for federal agencies (246-176),support,Yes,0.885,0.115
Ted Poe,March 1,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (231-191),support,Yes,0.842,0.158
Ted Poe,March 1,Requires review of proposed regulations by the Office of Information and Regulatory Affairs (241-184),support,Yes,0.923,0.077
Ted Poe,March 1,Establishment of a commission to review federal regulations (240-185),support,Yes,0.82,0.18
Ted Poe,Feb. 16,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (230-188),support,Yes,0.902,0.098
Ted Poe,Feb. 15,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (236-189),support,Yes,0.923,0.077
Ted Poe,Feb. 15,Repeal of a rule that allowed a new type of state-based retirement plan (231-193),support,Yes,0.864,0.136
Ted Poe,Feb. 15,Repeal of a rule that allowed a new type of retirement plan established by local governments (234-191),support,Yes,0.888,0.112
Ted Poe,Feb. 7,Repeal of a Department of Education rule on teacher preparation programs (240-181),support,Not voting,0.898,NA
Ted Poe,Feb. 7,Repeal of a Department of Education rule on school accountability (234-190),support,Not voting,0.884,NA
Ted Poe,Feb. 7,Repeal of changes to Bureau of Land Management planning rules (234-186),support,Not voting,0.891,NA
Ted Poe,Feb. 3,Repeal of a rule requiring energy companies to reduce waste and emissions (221-191),support,Yes,0.856,0.144
Ted Poe,Feb. 2,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (235-180),support,Yes,0.923,0.077
Ted Poe,Feb. 2,Repeal of a rule requiring some federal contractors to report labor violations (236-187),support,Yes,0.902,0.098
Ted Poe,Feb. 1,Repeal of the stream protection rule (228-194),support,Yes,0.863,0.137
Ted Poe,Feb. 1,Repeal of a rule requiring energy companies to disclose payments to foreign governments (235-187),support,Yes,0.869,0.131
Ted Poe,Jan. 24,Permanent ban on the use of federal funds for abortion or health coverage that includes abortions (238-183),support,Yes,0.917,0.083
Ted Poe,Jan. 13,Waiver allowing James Mattis to become secretary of defense (268-151),support,Yes,0.909,0.091
Ted Poe,Jan. 13,Budget resolution to repeal the Affordable Care Act (227-198),support,Yes,0.789,0.211
Ted Poe,Jan. 5,Regulations from the Executive in Need of Scrutiny Act of 2017 (237-187),support,Yes,0.919,0.081
Ted Budd,March 16,Giving the secretary of veterans affairs more flexibility to discipline employees (237-178),support,Yes,0.862,0.138
Ted Budd,March 8,Department of Defense Appropriations Act (371-48),support,Yes,0.964,0.036
Ted Budd,March 2,Changes to rulemaking requirements for federal agencies (246-176),support,Yes,0.886,0.114
Ted Budd,March 1,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (231-191),support,Yes,0.844,0.156
Ted Budd,March 1,Requires review of proposed regulations by the Office of Information and Regulatory Affairs (241-184),support,Yes,0.925,0.075
Ted Budd,March 1,Establishment of a commission to review federal regulations (240-185),support,Yes,0.822,0.178
Ted Budd,Feb. 16,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (230-188),support,Yes,0.904,0.096
Ted Budd,Feb. 15,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (236-189),support,Yes,0.924,0.076
Ted Budd,Feb. 15,Repeal of a rule that allowed a new type of state-based retirement plan (231-193),support,Yes,0.866,0.134
Ted Budd,Feb. 15,Repeal of a rule that allowed a new type of retirement plan established by local governments (234-191),support,Yes,0.89,0.11
Ted Budd,Feb. 7,Repeal of a Department of Education rule on teacher preparation programs (240-181),support,Yes,0.899,0.101
Ted Budd,Feb. 7,Repeal of a Department of Education rule on school accountability (234-190),support,Yes,0.886,0.114
Ted Budd,Feb. 7,Repeal of changes to Bureau of Land Management planning rules (234-186),support,Yes,0.893,0.107
Ted Budd,Feb. 3,Repeal of a rule requiring energy companies to reduce waste and emissions (221-191),support,Yes,0.858,0.142
Ted Budd,Feb. 2,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (235-180),support,Yes,0.924,0.076
Ted Budd,Feb. 2,Repeal of a rule requiring some federal contractors to report labor violations (236-187),support,Yes,0.903,0.097
Ted Budd,Feb. 1,Repeal of the stream protection rule (228-194),support,Yes,0.865,0.135
Ted Budd,Feb. 1,Repeal of a rule requiring energy companies to disclose payments to foreign governments (235-187),support,Yes,0.871,0.129
Ted Budd,Jan. 24,Permanent ban on the use of federal funds for abortion or health coverage that includes abortions (238-183),support,Yes,0.918,0.082
Ted Budd,Jan. 13,Waiver allowing James Mattis to become secretary of defense (268-151),support,Yes,0.91,0.09
Ted Budd,Jan. 13,Budget resolution to repeal the Affordable Care Act (227-198),support,Yes,0.791,0.209
Ted Budd,Jan. 5,Regulations from the Executive in Need of Scrutiny Act of 2017 (237-187),support,Yes,0.921,0.079
Devin Nunes,March 16,Giving the secretary of veterans affairs more flexibility to discipline employees (237-178),support,Yes,0.864,0.136
Devin Nunes,March 8,Department of Defense Appropriations Act (371-48),support,Yes,0.964,0.036
Devin Nunes,March 2,Changes to rulemaking requirements for federal agencies (246-176),support,Yes,0.887,0.113
Devin Nunes,March 1,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (231-191),support,Yes,0.846,0.154
Devin Nunes,March 1,Requires review of proposed regulations by the Office of Information and Regulatory Affairs (241-184),support,Yes,0.926,0.074
Devin Nunes,March 1,Establishment of a commission to review federal regulations (240-185),support,Yes,0.823,0.177
Devin Nunes,Feb. 16,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (230-188),support,Yes,0.905,0.095
Devin Nunes,Feb. 15,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (236-189),support,Yes,0.925,0.075
Devin Nunes,Feb. 15,Repeal of a rule that allowed a new type of state-based retirement plan (231-193),support,Yes,0.868,0.132
Devin Nunes,Feb. 15,Repeal of a rule that allowed a new type of retirement plan established by local governments (234-191),support,Yes,0.892,0.108
Devin Nunes,Feb. 7,Repeal of a Department of Education rule on teacher preparation programs (240-181),support,Yes,0.901,0.099
Devin Nunes,Feb. 7,Repeal of a Department of Education rule on school accountability (234-190),support,Yes,0.888,0.112
Devin Nunes,Feb. 7,Repeal of changes to Bureau of Land Management planning rules (234-186),support,Yes,0.895,0.105
Devin Nunes,Feb. 3,Repeal of a rule requiring energy companies to reduce waste and emissions (221-191),support,Not voting,0.86,NA
Devin Nunes,Feb. 2,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (235-180),support,Yes,0.926,0.074
Devin Nunes,Feb. 2,Repeal of a rule requiring some federal contractors to report labor violations (236-187),support,Yes,0.905,0.095
Devin Nunes,Feb. 1,Repeal of the stream protection rule (228-194),support,Yes,0.867,0.133
Devin Nunes,Feb. 1,Repeal of a rule requiring energy companies to disclose payments to foreign governments (235-187),support,Yes,0.873,0.127
Devin Nunes,Jan. 24,Permanent ban on the use of federal funds for abortion or health coverage that includes abortions (238-183),support,Yes,0.92,0.08
Devin Nunes,Jan. 13,Waiver allowing James Mattis to become secretary of defense (268-151),support,Yes,0.911,0.089
Devin Nunes,Jan. 13,Budget resolution to repeal the Affordable Care Act (227-198),support,Yes,0.793,0.207
Devin Nunes,Jan. 5,Regulations from the Executive in Need of Scrutiny Act of 2017 (237-187),support,Yes,0.922,0.078
George Holding,March 16,Giving the secretary of veterans affairs more flexibility to discipline employees (237-178),support,Yes,0.865,0.135
George Holding,March 8,Department of Defense Appropriations Act (371-48),support,Yes,0.964,0.036
George Holding,March 2,Changes to rulemaking requirements for federal agencies (246-176),support,Yes,0.888,0.112
George Holding,March 1,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (231-191),support,Yes,0.848,0.152
George Holding,March 1,Requires review of proposed regulations by the Office of Information and Regulatory Affairs (241-184),support,Yes,0.927,0.073
George Holding,March 1,Establishment of a commission to review federal regulations (240-185),support,Yes,0.825,0.175
George Holding,Feb. 16,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (230-188),support,Yes,0.907,0.093
George Holding,Feb. 15,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (236-189),support,Yes,0.927,0.073
George Holding,Feb. 15,Repeal of a rule that allowed a new type of state-based retirement plan (231-193),support,Yes,0.87,0.13
George Holding,Feb. 15,Repeal of a rule that allowed a new type of retirement plan established by local governments (234-191),support,Yes,0.894,0.106
George Holding,Feb. 7,Repeal of a Department of Education rule on teacher preparation programs (240-181),support,Yes,0.903,0.097
George Holding,Feb. 7,Repeal of a Department of Education rule on school accountability (234-190),support,Yes,0.89,0.11
George Holding,Feb. 7,Repeal of changes to Bureau of Land Management planning rules (234-186),support,Yes,0.896,0.104
George Holding,Feb. 3,Repeal of a rule requiring energy companies to reduce waste and emissions (221-191),support,Yes,0.862,0.138
George Holding,Feb. 2,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (235-180),support,Yes,0.927,0.073
George Holding,Feb. 2,Repeal of a rule requiring some federal contractors to report labor violations (236-187),support,Yes,0.906,0.094
George Holding,Feb. 1,Repeal of the stream protection rule (228-194),support,Yes,0.869,0.131
George Holding,Feb. 1,Repeal of a rule requiring energy companies to disclose payments to foreign governments (235-187),support,Yes,0.874,0.126
George Holding,Jan. 24,Permanent ban on the use of federal funds for abortion or health coverage that includes abortions (238-183),support,Yes,0.921,0.079
George Holding,Jan. 13,Waiver allowing James Mattis to become secretary of defense (268-151),support,Yes,0.912,0.088
George Holding,Jan. 13,Budget resolution to repeal the Affordable Care Act (227-198),support,Yes,0.795,0.205
George Holding,Jan. 5,Regulations from the Executive in Need of Scrutiny Act of 2017 (237-187),support,Yes,0.924,0.076
Dennis A. Ross,March 16,Giving the secretary of veterans affairs more flexibility to discipline employees (237-178),support,Yes,0.871,0.129
Dennis A. Ross,March 8,Department of Defense Appropriations Act (371-48),support,Yes,0.965,0.035
Dennis A. Ross,March 2,Changes to rulemaking requirements for federal agencies (246-176),support,Yes,0.893,0.107
Dennis A. Ross,March 1,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (231-191),support,Yes,0.855,0.145
Dennis A. Ross,March 1,Requires review of proposed regulations by the Office of Information and Regulatory Affairs (241-184),support,Yes,0.932,0.068
Dennis A. Ross,March 1,Establishment of a commission to review federal regulations (240-185),support,Yes,0.831,0.169
Dennis A. Ross,Feb. 16,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (230-188),support,Yes,0.914,0.086
Dennis A. Ross,Feb. 15,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (236-189),support,Yes,0.933,0.067
Dennis A. Ross,Feb. 15,Repeal of a rule that allowed a new type of state-based retirement plan (231-193),support,Yes,0.877,0.123
Dennis A. Ross,Feb. 15,Repeal of a rule that allowed a new type of retirement plan established by local governments (234-191),support,Yes,0.9,0.1
Dennis A. Ross,Feb. 7,Repeal of a Department of Education rule on teacher preparation programs (240-181),support,Yes,0.909,0.091
Dennis A. Ross,Feb. 7,Repeal of a Department of Education rule on school accountability (234-190),support,Yes,0.897,0.103
Dennis A. Ross,Feb. 7,Repeal of changes to Bureau of Land Management planning rules (234-186),support,Yes,0.903,0.097
Dennis A. Ross,Feb. 3,Repeal of a rule requiring energy companies to reduce waste and emissions (221-191),support,Yes,0.87,0.13
Dennis A. Ross,Feb. 2,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (235-180),support,Yes,0.932,0.068
Dennis A. Ross,Feb. 2,Repeal of a rule requiring some federal contractors to report labor violations (236-187),support,Yes,0.912,0.088
Dennis A. Ross,Feb. 1,Repeal of the stream protection rule (228-194),support,Yes,0.877,0.123
Dennis A. Ross,Feb. 1,Repeal of a rule requiring energy companies to disclose payments to foreign governments (235-187),support,Yes,0.881,0.119
Dennis A. Ross,Jan. 24,Permanent ban on the use of federal funds for abortion or health coverage that includes abortions (238-183),support,Yes,0.927,0.073
Dennis A. Ross,Jan. 13,Waiver allowing James Mattis to become secretary of defense (268-151),support,Yes,0.915,0.085
Dennis A. Ross,Jan. 13,Budget resolution to repeal the Affordable Care Act (227-198),support,Yes,0.803,0.197
Dennis A. Ross,Jan. 5,Regulations from the Executive in Need of Scrutiny Act of 2017 (237-187),support,Yes,0.929,0.071
David Schweikert,March 16,Giving the secretary of veterans affairs more flexibility to discipline employees (237-178),support,Yes,0.871,0.129
David Schweikert,March 8,Department of Defense Appropriations Act (371-48),support,Yes,0.965,0.035
David Schweikert,March 2,Changes to rulemaking requirements for federal agencies (246-176),support,Yes,0.893,0.107
David Schweikert,March 1,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (231-191),support,Yes,0.855,0.145
David Schweikert,March 1,Requires review of proposed regulations by the Office of Information and Regulatory Affairs (241-184),support,Yes,0.932,0.068
David Schweikert,March 1,Establishment of a commission to review federal regulations (240-185),support,Yes,0.831,0.169
David Schweikert,Feb. 16,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (230-188),support,Yes,0.914,0.086
David Schweikert,Feb. 15,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (236-189),support,Yes,0.933,0.067
David Schweikert,Feb. 15,Repeal of a rule that allowed a new type of state-based retirement plan (231-193),support,Yes,0.877,0.123
David Schweikert,Feb. 15,Repeal of a rule that allowed a new type of retirement plan established by local governments (234-191),support,Yes,0.9,0.1
David Schweikert,Feb. 7,Repeal of a Department of Education rule on teacher preparation programs (240-181),support,Yes,0.909,0.091
David Schweikert,Feb. 7,Repeal of a Department of Education rule on school accountability (234-190),support,Yes,0.897,0.103
David Schweikert,Feb. 7,Repeal of changes to Bureau of Land Management planning rules (234-186),support,Yes,0.903,0.097
David Schweikert,Feb. 3,Repeal of a rule requiring energy companies to reduce waste and emissions (221-191),support,Yes,0.87,0.13
David Schweikert,Feb. 2,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (235-180),support,Yes,0.932,0.068
David Schweikert,Feb. 2,Repeal of a rule requiring some federal contractors to report labor violations (236-187),support,Yes,0.912,0.088
David Schweikert,Feb. 1,Repeal of the stream protection rule (228-194),support,Yes,0.877,0.123
David Schweikert,Feb. 1,Repeal of a rule requiring energy companies to disclose payments to foreign governments (235-187),support,Yes,0.881,0.119
David Schweikert,Jan. 24,Permanent ban on the use of federal funds for abortion or health coverage that includes abortions (238-183),support,Yes,0.927,0.073
David Schweikert,Jan. 13,Waiver allowing James Mattis to become secretary of defense (268-151),support,Yes,0.915,0.085
David Schweikert,Jan. 13,Budget resolution to repeal the Affordable Care Act (227-198),support,Yes,0.803,0.197
David Schweikert,Jan. 5,Regulations from the Executive in Need of Scrutiny Act of 2017 (237-187),support,Yes,0.929,0.071
Lamar Smith,March 16,Giving the secretary of veterans affairs more flexibility to discipline employees (237-178),support,Yes,0.871,0.129
Lamar Smith,March 8,Department of Defense Appropriations Act (371-48),support,Yes,0.965,0.035
Lamar Smith,March 2,Changes to rulemaking requirements for federal agencies (246-176),support,Yes,0.893,0.107
Lamar Smith,March 1,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (231-191),support,Yes,0.855,0.145
Lamar Smith,March 1,Requires review of proposed regulations by the Office of Information and Regulatory Affairs (241-184),support,Yes,0.932,0.068
Lamar Smith,March 1,Establishment of a commission to review federal regulations (240-185),support,Yes,0.831,0.169
Lamar Smith,Feb. 16,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (230-188),support,Yes,0.914,0.086
Lamar Smith,Feb. 15,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (236-189),support,Yes,0.933,0.067
Lamar Smith,Feb. 15,Repeal of a rule that allowed a new type of state-based retirement plan (231-193),support,Yes,0.877,0.123
Lamar Smith,Feb. 15,Repeal of a rule that allowed a new type of retirement plan established by local governments (234-191),support,Yes,0.9,0.1
Lamar Smith,Feb. 7,Repeal of a Department of Education rule on teacher preparation programs (240-181),support,Yes,0.909,0.091
Lamar Smith,Feb. 7,Repeal of a Department of Education rule on school accountability (234-190),support,Yes,0.897,0.103
Lamar Smith,Feb. 7,Repeal of changes to Bureau of Land Management planning rules (234-186),support,Yes,0.903,0.097
Lamar Smith,Feb. 3,Repeal of a rule requiring energy companies to reduce waste and emissions (221-191),support,Yes,0.87,0.13
Lamar Smith,Feb. 2,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (235-180),support,Yes,0.932,0.068
Lamar Smith,Feb. 2,Repeal of a rule requiring some federal contractors to report labor violations (236-187),support,Yes,0.912,0.088
Lamar Smith,Feb. 1,Repeal of the stream protection rule (228-194),support,Yes,0.877,0.123
Lamar Smith,Feb. 1,Repeal of a rule requiring energy companies to disclose payments to foreign governments (235-187),support,Yes,0.881,0.119
Lamar Smith,Jan. 24,Permanent ban on the use of federal funds for abortion or health coverage that includes abortions (238-183),support,Yes,0.927,0.073
Lamar Smith,Jan. 13,Waiver allowing James Mattis to become secretary of defense (268-151),support,Yes,0.915,0.085
Lamar Smith,Jan. 13,Budget resolution to repeal the Affordable Care Act (227-198),support,Yes,0.803,0.197
Lamar Smith,Jan. 5,Regulations from the Executive in Need of Scrutiny Act of 2017 (237-187),support,Yes,0.929,0.071
Jaime Herrera Beutler,March 16,Giving the secretary of veterans affairs more flexibility to discipline employees (237-178),support,Yes,0.83,0.17
Jaime Herrera Beutler,March 8,Department of Defense Appropriations Act (371-48),support,Yes,0.96,0.04
Jaime Herrera Beutler,March 2,Changes to rulemaking requirements for federal agencies (246-176),support,Yes,0.858,0.142
Jaime Herrera Beutler,March 1,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (231-191),support,Yes,0.804,0.196
Jaime Herrera Beutler,March 1,Requires review of proposed regulations by the Office of Information and Regulatory Affairs (241-184),support,Yes,0.894,0.106
Jaime Herrera Beutler,March 1,Establishment of a commission to review federal regulations (240-185),support,Yes,0.789,0.211
Jaime Herrera Beutler,Feb. 16,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (230-188),support,Yes,0.864,0.136
Jaime Herrera Beutler,Feb. 15,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (236-189),support,Yes,0.89,0.11
Jaime Herrera Beutler,Feb. 15,Repeal of a rule that allowed a new type of state-based retirement plan (231-193),support,Yes,0.824,0.176
Jaime Herrera Beutler,Feb. 15,Repeal of a rule that allowed a new type of retirement plan established by local governments (234-191),support,Yes,0.851,0.149
Jaime Herrera Beutler,Feb. 7,Repeal of a Department of Education rule on teacher preparation programs (240-181),support,Yes,0.864,0.136
Jaime Herrera Beutler,Feb. 7,Repeal of a Department of Education rule on school accountability (234-190),support,Yes,0.846,0.154
Jaime Herrera Beutler,Feb. 7,Repeal of changes to Bureau of Land Management planning rules (234-186),support,Yes,0.855,0.145
Jaime Herrera Beutler,Feb. 3,Repeal of a rule requiring energy companies to reduce waste and emissions (221-191),support,Yes,0.811,0.189
Jaime Herrera Beutler,Feb. 2,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (235-180),support,Yes,0.892,0.108
Jaime Herrera Beutler,Feb. 2,Repeal of a rule requiring some federal contractors to report labor violations (236-187),support,Yes,0.868,0.132
Jaime Herrera Beutler,Feb. 1,Repeal of the stream protection rule (228-194),support,No,0.821,-0.821
Jaime Herrera Beutler,Feb. 1,Repeal of a rule requiring energy companies to disclose payments to foreign governments (235-187),support,Yes,0.835,0.165
Jaime Herrera Beutler,Jan. 24,Permanent ban on the use of federal funds for abortion or health coverage that includes abortions (238-183),support,Yes,0.884,0.116
Jaime Herrera Beutler,Jan. 13,Waiver allowing James Mattis to become secretary of defense (268-151),support,Yes,0.892,0.108
Jaime Herrera Beutler,Jan. 13,Budget resolution to repeal the Affordable Care Act (227-198),support,Yes,0.747,0.253
Jaime Herrera Beutler,Jan. 5,Regulations from the Executive in Need of Scrutiny Act of 2017 (237-187),support,Yes,0.886,0.114
Stevan Pearce,March 16,Giving the secretary of veterans affairs more flexibility to discipline employees (237-178),support,Yes,0.874,0.126
Stevan Pearce,March 8,Department of Defense Appropriations Act (371-48),support,Yes,0.965,0.035
Stevan Pearce,March 2,Changes to rulemaking requirements for federal agencies (246-176),support,Yes,0.896,0.104
Stevan Pearce,March 1,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (231-191),support,Yes,0.859,0.141
Stevan Pearce,March 1,Requires review of proposed regulations by the Office of Information and Regulatory Affairs (241-184),support,Yes,0.935,0.065
Stevan Pearce,March 1,Establishment of a commission to review federal regulations (240-185),support,Yes,0.834,0.166
Stevan Pearce,Feb. 16,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (230-188),support,Yes,0.917,0.083
