name,chamber,party,state,district,trump_score,trump_margin,predicted_score,trump_plus_minus
Donald Norcross,House, D, NJ,1,0.091,-0.245,0.096,-0.005
Susan A. Davis,House, D, CA,53,0.045,-0.349,0.051,-0.005
Brendan F. Boyle,House, D, PA,13,0.045,-0.336,0.054,-0.008
Lloyd Doggett,House, D, TX,35,0.045,-0.336,0.054,-0.008
Grace Meng,House, D, NY,6,0.045,-0.33,0.055,-0.01
Colleen Hanabusa,House, D, HI,1,0.045,-0.326,0.056,-0.011
Bobby Scott ,House, D, VA,3,0.045,-0.317,0.059,-0.014
Alan S. Lowenthal,House, D, CA,47,0.045,-0.316,0.059,-0.014
Daniel Lipinski,House, D, IL,3,0.19,-0.153,0.206,-0.016
José E. Serrano,House, D, NY,15,0.0,-0.889,0.016,-0.016
Steny H. Hoyer,House, D, MD,5,0.045,-0.31,0.061,-0.016
Betty McCollum,House, D, MN,4,0.045,-0.309,0.062,-0.016
Adriano Espaillat,House, D, NY,13,0.0,-0.869,0.016,-0.016
John P. Sarbanes,House, D, MD,3,0.045,-0.308,0.062,-0.016
Barbara Lee,House, D, CA,13,0.0,-0.806,0.019,-0.019
Danny K. Davis,House, D, IL,7,0.0,-0.782,0.021,-0.021
Nydia M. Velázquez,House, D, NY,7,0.0,-0.765,0.022,-0.022
Bradley Scott Schneider,House, D, IL,10,0.045,-0.294,0.067,-0.022
John Lewis,House, D, GA,5,0.0,-0.731,0.023,-0.023
Pramila Jayapal,House, D, WA,7,0.0,-0.699,0.023,-0.023
Carolyn B. Maloney,House, D, NY,12,0.0,-0.698,0.023,-0.023
Michael E. Capuano,House, D, MA,7,0.0,-0.722,0.023,-0.023
Justin Amash,House, R, MI,3,0.864,0.094,0.887,-0.024
Yvette D. Clarke,House, D, NY,9,0.0,-0.691,0.025,-0.025
Mark Sanford,House, R, SC,1,0.909,0.131,0.935,-0.026
Bennie G. Thompson,House, D, MS,2,0.048,-0.285,0.074,-0.027
Maxine Waters,House, D, CA,43,0.0,-0.617,0.027,-0.027
John Conyers Jr.,House, D, MI,13,0.0,-0.607,0.027,-0.027
Jackie Speier,House, D, CA,14,0.0,-0.587,0.028,-0.028
Julia Brownley,House, D, CA,26,0.091,-0.219,0.119,-0.028
Andy Biggs,House, R, AZ,5,0.955,0.211,0.983,-0.029
Keith Ellison,House, D, MN,5,0.0,-0.552,0.03,-0.03
Alcee L. Hastings,House, D, FL,20,0.0,-0.621,0.031,-0.031
Gwen Moore,House, D, WI,4,0.0,-0.522,0.032,-0.032
Zoe Lofgren,House, D, CA,19,0.0,-0.514,0.032,-0.032
Dina Titus,House, D, NV,1,0.0,-0.29,0.033,-0.033
Mark DeSaulnier,House, D, CA,11,0.0,-0.488,0.034,-0.034
Val Butler Demings,House, D, FL,10,0.045,-0.269,0.08,-0.034
Diana DeGette,House, D, CO,1,0.0,-0.458,0.036,-0.036
Jared Huffman,House, D, CA,2,0.0,-0.457,0.036,-0.036
Janice D. Schakowsky,House, D, IL,9,0.0,-0.452,0.037,-0.037
Debbie Dingell,House, D, MI,12,0.045,-0.263,0.083,-0.038
Debbie Wasserman Schultz,House, D, FL,23,0.045,-0.261,0.084,-0.039
Earl Blumenauer,House, D, OR,3,0.0,-0.482,0.04,-0.04
Don Young,House, R, AK,AL,0.909,0.147,0.95,-0.041
David N. Cicilline,House, D, RI,1,0.045,-0.256,0.088,-0.042
Al Lawson Jr.,House, D, FL,5,0.045,-0.254,0.089,-0.044
Grace F. Napolitano,House, D, CA,32,0.0,-0.389,0.044,-0.044
John J. Duncan Jr.,House, R, TN,2,0.955,0.354,0.999,-0.044
Matt Gaetz,House, R, FL,1,0.955,0.393,0.999,-0.045
Louie Gohmert,House, R, TX,1,0.955,0.469,1.0,-0.045
Judy Chu,House, D, CA,27,0.0,-0.376,0.046,-0.046
Raúl R. Labrador,House, R, ID,1,0.952,0.383,0.999,-0.047
Mark Pocan,House, D, WI,2,0.0,-0.368,0.047,-0.047
Katherine M. Clark,House, D, MA,5,0.0,-0.436,0.049,-0.049
Stephen F. Lynch,House, D, MA,8,0.0,-0.26,0.05,-0.05
Jamie Raskin,House, D, MD,8,0.0,-0.337,0.053,-0.053
Bonnie Watson Coleman,House, D, NJ,12,0.0,-0.332,0.055,-0.055
Bill Foster,House, D, IL,11,0.045,-0.235,0.104,-0.058
John B. Larson,House, D, CT,1,0.045,-0.231,0.107,-0.062
James A. Himes,House, D, CT,4,0.045,-0.23,0.108,-0.063
Suzanne Bonamici,House, D, OR,1,0.045,-0.228,0.11,-0.065
Niki Tsongas,House, D, MA,3,0.045,-0.228,0.11,-0.065
Raúl M. Grijalva,House, D, AZ,3,0.0,-0.299,0.065,-0.065
Rick Larsen,House, D, WA,2,0.045,-0.221,0.117,-0.072
Mark Takano,House, D, CA,41,0.0,-0.279,0.074,-0.074
Raja Krishnamoorthi,House, D, IL,8,0.045,-0.217,0.121,-0.076
A. Donald McEachin,House, D, VA,4,0.045,-0.216,0.123,-0.077
Seth Moulton,House, D, MA,6,0.091,-0.179,0.173,-0.082
Peter Welch,House, D, VT,AL,0.0,-0.264,0.082,-0.082
Marcy Kaptur,House, D, OH,9,0.0,-0.222,0.083,-0.083
Pete Aguilar,House, D, CA,31,0.045,-0.211,0.128,-0.083
Richard E. Neal,House, D, MA,1,0.045,-0.207,0.133,-0.087
Lois Frankel,House, D, FL,21,0.056,-0.195,0.144,-0.088
Salud O. Carbajal,House, D, CA,24,0.045,-0.202,0.139,-0.094
Nita M. Lowey,House, D, NY,17,0.045,-0.202,0.139,-0.094
Joseph P. Kennedy III,House, D, MA,4,0.0,-0.242,0.098,-0.098
Brian Higgins,House, D, NY,26,0.048,-0.196,0.15,-0.102
Vicente Gonzalez,House, D, TX,15,0.091,-0.167,0.193,-0.102
John K. Delaney,House, D, MD,6,0.095,-0.161,0.206,-0.111
Jerry McNerney,House, D, CA,9,0.045,-0.186,0.162,-0.116
André Carson,House, D, IN,7,0.0,-0.228,0.118,-0.118
Sanford D. Bishop Jr.,House, D, GA,2,0.19,-0.117,0.31,-0.119
Kathy Castor,House, D, FL,14,0.048,-0.182,0.173,-0.125
Jared Polis,House, D, CO,2,0.0,-0.213,0.126,-0.126
Thomas Massie,House, R, KY,4,0.864,0.359,0.999,-0.135
James P. McGovern,House, D, MA,2,0.0,-0.194,0.15,-0.15
Louise McIntosh Slaughter,House, D, NY,25,0.05,-0.164,0.2,-0.15
Michelle Lujan Grisham,House, D, NM,1,0.045,-0.165,0.197,-0.151
Suzan K. DelBene,House, D, WA,1,0.045,-0.163,0.201,-0.155
Stephanie N. Murphy,House, D, FL,7,0.273,-0.073,0.433,-0.161
Ed Perlmutter,House, D, CO,7,0.136,-0.12,0.297,-0.161
Rosa L. DeLauro,House, D, CT,3,0.045,-0.155,0.216,-0.171
Theodore E. Deutch,House, D, FL,22,0.0,-0.158,0.174,-0.174
Christopher H. Smith,House, R, NJ,4,0.773,0.148,0.95,-0.177
Ben Ray Luján,House, D, NM,3,0.045,-0.151,0.224,-0.179
John A. Yarmuth,House, D, KY,3,0.045,-0.15,0.227,-0.181
Chellie Pingree,House, D, ME,1,0.048,-0.148,0.234,-0.186
Frank Pallone Jr.,House, D, NJ,6,0.0,-0.156,0.214,-0.214
Emanuel Cleaver,House, D, MO,5,0.0,-0.135,0.215,-0.215
Paul Tonko,House, D, NY,20,0.048,-0.135,0.264,-0.216
Ami Bera,House, D, CA,7,0.091,-0.114,0.313,-0.222
Denny Heck,House, D, WA,10,0.091,-0.114,0.313,-0.222
Darren Soto,House, D, FL,9,0.045,-0.129,0.274,-0.229
John Garamendi,House, D, CA,3,0.045,-0.126,0.282,-0.236
Peter J. Visclosky,House, D, IN,1,0.045,-0.126,0.282,-0.236
William R. Keating,House, D, MA,9,0.091,-0.107,0.332,-0.241
Derek Kilmer,House, D, WA,6,0.045,-0.123,0.289,-0.244
Lisa Blunt Rochester,House, D, DE,AL,0.045,-0.114,0.312,-0.267
Walter B. Jones,House, R, NC,3,0.706,0.236,0.988,-0.282
Thomas R. Suozzi,House, D, NY,3,0.182,-0.061,0.472,-0.29
Kathleen M. Rice,House, D, NY,4,0.045,-0.096,0.363,-0.318
Raul Ruiz,House, D, CA,36,0.045,-0.088,0.387,-0.342
Kurt Schrader,House, D, OR,5,0.19,-0.042,0.535,-0.344
Collin C. Peterson,House, D, MN,7,0.65,0.308,0.997,-0.347
Tim Ryan,House, D, OH,13,0.091,-0.065,0.459,-0.368
Sander M. Levin,House, D, MI,9,0.045,-0.078,0.418,-0.372
Tom O'Halleran,House, D, AZ,1,0.318,0.011,0.7,-0.382
James R. Langevin,House, D, RI,2,0.045,-0.071,0.44,-0.394
Josh Gottheimer,House, D, NJ,5,0.273,0.011,0.7,-0.427
Charlie Crist,House, D, FL,13,0.136,-0.032,0.566,-0.43
Ruben Kihuen,House, D, NV,4,0.045,-0.049,0.511,-0.465
Daniel T. Kildee,House, D, MI,5,0.05,-0.042,0.538,-0.488
Elizabeth H. Esty,House, D, CT,5,0.045,-0.041,0.537,-0.491
Ann M. Kuster,House, D, NH,2,0.091,-0.024,0.592,-0.501
Joe Courtney,House, D, CT,2,0.045,-0.029,0.576,-0.53
Jacky Rosen,House, D, NV,3,0.136,0.01,0.697,-0.56
Peter A. DeFazio,House, D, OR,4,0.045,-0.001,0.664,-0.619
Sean Patrick Maloney,House, D, NY,18,0.091,0.019,0.723,-0.632
Cheri Bustos,House, D, IL,17,0.045,0.007,0.688,-0.643
Carol Shea-Porter,House, D, NH,1,0.045,0.016,0.714,-0.669
David Loebsack,House, D, IA,2,0.091,0.041,0.781,-0.69
Ron Kind,House, D, WI,3,0.091,0.045,0.79,-0.699
Matt Cartwright,House, D, PA,17,0.095,0.101,0.899,-0.804
Timothy J. Walz,House, D, MN,1,0.136,0.149,0.951,-0.815
Richard M. Nolan,House, D, MN,8,0.091,0.156,0.956,-0.865
